year,no_arctic_tas,arctic_tas,world_tas
1850,-0.39348678387574465,-0.6775214827069884,-0.4048002666824414
1851,-0.23510164339769998,0.10812669510038782,-0.22099959457732174
1852,-0.20626019143873195,-0.3039454431279271,-0.20991886542020022
1853,-0.2507759424302041,-0.10006432552637311,-0.24407973484939463
1854,-0.2836658862218349,-0.17133919359922334,-0.27898351444101127
1855,-0.25891958671960696,-0.792784751609201,-0.28055343253961
1856,-0.303851393911129,-0.7449063287036275,-0.3218338416870321
1857,-0.45292462697084784,-0.5700224397547279,-0.45774669603812085
1858,-0.3725988430745948,-0.08854051473950052,-0.3610489193903501
1859,-0.25492795291404674,-0.4823846738443484,-0.2642279016859282
1860,-0.3511916026369549,-0.601228531573596,-0.3609492107026882
1861,-0.4354743481666412,-0.30704018811856804,-0.4298341551781737
1862,-0.476223980541147,-1.0937447410948655,-0.5006335834603506
1863,-0.34055973069818024,-0.6036152307158226,-0.35121991896931876
1864,-0.37466807224008414,-0.48641113924296714,-0.3791547081699128
1865,-0.2658668122937616,-0.9653773104224576,-0.29472702943548
1866,-0.296185159594293,-1.0720673445799198,-0.3290616796933742
1867,-0.2849289914402405,-1.173793660254256,-0.32143778606827267
1868,-0.23514087637624598,-0.6562436628407685,-0.25252917331483277
1869,-0.28303592769277514,-0.4283801976700889,-0.2892823350304395
1870,-0.2814558196125591,-0.5571535283281243,-0.29248508854126654
1871,-0.3107456122181966,-0.901493227940084,-0.3344311739309201
1872,-0.3090006174089575,-0.5107171750466039,-0.317428136949388
1873,-0.3240228262140967,-0.6086845176949541,-0.3354605617610067
1874,-0.39083436589111814,-0.2684023041461109,-0.38641731519198175
1875,-0.3259943100505271,-0.6359936846425353,-0.338483742502362
1876,-0.3815243616764974,-0.6352274962281665,-0.3915332654896849
1877,-0.012228144958289455,-0.499687724989867,-0.03193093784973804
1878,0.023755401848105307,-0.035144432904549584,0.021148172553754646
1879,-0.28842517990876804,-0.5366242060880247,-0.298056645426906
1880,-0.2848521638249556,-0.49170294236084017,-0.29318608011041264
1881,-0.1828488949776631,-0.9936728433480686,-0.21583511095207739
1882,-0.25673722116330033,-1.0794688292065262,-0.28998753708203884
1883,-0.33858850562547743,-0.12211511049467332,-0.32937478658449126
1884,-0.4624999075162826,-1.0499069909938197,-0.48613961214902474
1885,-0.4280235390299344,-1.2799497119444785,-0.4622979541026938
1886,-0.3969363332007294,-1.0369307563871593,-0.4229063280076798
1887,-0.46922866459738743,-0.9204849732937839,-0.48732981094299294
1888,-0.3421384059687,-0.995852565719236,-0.36833750442845503
1889,-0.22767648487815817,-0.3204415271168514,-0.2313606424578769
