year,no_arctic_tas,arctic_tas,world_tas
1850,-0.3866544172970357,-0.5780343459627286,-0.3946790246641289
1851,-0.2337582650687858,-0.11829562892555177,-0.22898142078455247
1852,-0.26292186997590233,-0.29850287717178914,-0.26440643678237685
1853,-0.3195889220282469,-0.42910596739339224,-0.32414507524403813
1854,-0.2641242269405749,-0.32830491931487954,-0.26686899421923943
1855,-0.25087877266281394,-0.5378875878498373,-0.262942968761352
1856,-0.3920983538356188,-0.4275810726877523,-0.3934925274528981
1857,-0.48748318778056354,-0.5413924230286389,-0.48977544970188747
1858,-0.4277136067088312,-0.3840106782112362,-0.42595616858329227
1859,-0.354563765817935,-0.49811410732758826,-0.3607700244661309
1860,-0.44916097739772337,-0.6756440206508509,-0.4585466858280534
1861,-0.4857976462751078,-0.646983928319077,-0.49251539511353154
1862,-0.5706306187505137,-1.032164761178899,-0.5898344774503511
1863,-0.3771779293115021,-0.725896137203954,-0.3920018810451053
1864,-0.4751459784293046,-0.6264573782724463,-0.48151828181077627
1865,-0.3405927702769145,-0.592598650696431,-0.3512626153743523
1866,-0.29972828965188186,-0.6611446855443496,-0.3151161517831162
1867,-0.34767461194963245,-0.7902695198850497,-0.36607035992351755
1868,-0.2698578653447306,-0.5966601223722873,-0.2837215292633358
1869,-0.29953000932120893,-0.47764211526218964,-0.3071944564729425
1870,-0.3306658304161304,-0.6431633873752816,-0.3437123120456267
1871,-0.34464938074164103,-0.8194412186869547,-0.364434253354966
1872,-0.31201642636970567,-0.44575127997287245,-0.3176907305657311
1873,-0.2945555930506811,-0.4738752951043626,-0.3019396929723408
1874,-0.39371128805578304,-0.2947503337745454,-0.38969392648029266
1875,-0.3712358648643162,-0.5982792984185747,-0.38067321568154283
1876,-0.3827217529661432,-0.6175987629295803,-0.392523256111415
1877,-0.06774799600122684,-0.47918184657812596,-0.08503623071078985
1878,-0.0008048269179968593,0.01837407496411995,-0.00011057994834388647
1879,-0.2539155992572275,-0.507583603500127,-0.26443888653613085
1880,-0.2834115675530372,-0.4786440581762046,-0.29162416916516365
1881,-0.21255040162880207,-0.6147234792073486,-0.2295122963235243
1882,-0.26268689236050763,-0.897108842751513,-0.2894320203087463
1883,-0.3404542525848889,-0.3796425485689018,-0.3420290805170074
1884,-0.48984338795080656,-0.8709658547475966,-0.5058870932214494
1885,-0.46121855297103864,-1.037886767083407,-0.48532167679134
1886,-0.429438305116057,-1.0482548301350851,-0.455589154741966
1887,-0.4700433702439729,-1.042502432632665,-0.4941879695632632
1888,-0.3139299947565848,-0.9773705157624705,-0.3416889002732826
1889,-0.19517615425916787,-0.48930397676953064,-0.20783058556279183
