,Model,Ensemble_member,No_arctic_crossing_year,World_crossing_year,gap
0,ACCESS-CM2,r1i1p1f1,2025.703,2023.073,2.6299999999998818
1,ACCESS-CM2,r2i1p1f1,2027.602,2024.589,3.0130000000001473
2,ACCESS-ESM1-5,r1i1p1f1,2030.55,2028.198,2.3519999999998618
3,ACCESS-ESM1-5,r2i1p1f1,2031.653,2028.467,3.185999999999922
4,ACCESS-ESM1-5,r3i1p1f1,2027.429,2023.93,3.4990000000000236
5,AWI-CM-1-1-MR,r1i1p1f1,2043.631,2037.202,6.429000000000087
6,BCC-CSM2-MR,r1i1p1f1,2032.603,2029.596,3.007000000000062
7,CAMS-CSM1-0,r1i1p1f1,2042.596,2039.007,3.588999999999942
8,CAS-ESM2-0,r1i1p1f1,2028.88,2025.728,3.1520000000000437
9,CESM2,r4i1p1f1,2031.672,2029.279,2.393000000000029
10,CESM2-WACCM,r1i1p1f1,2033.946,2030.53,3.41599999999994
11,CESM2-WACCM,r2i1p1f1,2040.221,2036.964,3.257000000000062
12,CESM2-WACCM,r3i1p1f1,2038.435,2035.516,2.918999999999869
13,CIESM,r1i1p1f1,2035.109,2029.606,5.502999999999929
14,CMCC-CM2-SR5,r1i1p1f1,2039.969,2036.804,3.1649999999999636
15,CMCC-ESM2,r1i1p1f1,2037.219,2034.083,3.1359999999999673
16,CNRM-CM6-1,r1i1p1f2,2032.09,2028.763,3.326999999999998
17,CNRM-CM6-1,r2i1p1f2,2027.533,2025.292,2.2409999999999854
18,CNRM-CM6-1,r3i1p1f2,2029.788,2026.299,3.4890000000000327
19,CNRM-CM6-1,r4i1p1f2,2029.726,2027.959,1.7670000000000528
20,CNRM-CM6-1,r5i1p1f2,2031.02,2028.422,2.5979999999999563
21,CNRM-CM6-1,r6i1p1f2,2030.436,2028.009,2.4269999999999072
22,CNRM-CM6-1-HR,r1i1p1f2,2033.796,2030.417,3.379000000000133
23,CNRM-ESM2-1,r1i1p1f2,2033.728,2031.613,2.115000000000009
24,CNRM-ESM2-1,r2i1p1f2,2032.487,2030.373,2.1140000000000327
25,CNRM-ESM2-1,r3i1p1f2,2025.602,2022.88,2.72199999999998
26,CNRM-ESM2-1,r4i1p1f2,2023.5,2021.35,2.150000000000091
27,CNRM-ESM2-1,r5i1p1f2,2026.591,2024.631,1.959999999999809
28,CanESM5,r10i1p1f1,2040.271,2034.647,5.624000000000024
29,CanESM5,r10i1p2f1,2038.808,2032.362,6.445999999999913
30,CanESM5,r11i1p1f1,2035.723,2029.833,5.889999999999873
31,CanESM5,r11i1p2f1,2043.539,2036.1,7.439000000000078
32,CanESM5,r12i1p1f1,2038.952,2031.916,7.036000000000058
33,CanESM5,r12i1p2f1,2036.74,2030.888,5.852000000000089
34,CanESM5,r13i1p1f1,2041.456,2035.185,6.270999999999958
35,CanESM5,r13i1p2f1,2038.336,2031.166,7.170000000000073
36,CanESM5,r14i1p1f1,2038.665,2034.052,4.613000000000056
37,CanESM5,r14i1p2f1,2034.517,2027.962,6.555000000000064
38,CanESM5,r15i1p1f1,2037.482,2031.891,5.5909999999998945
39,CanESM5,r15i1p2f1,2035.22,2028.942,6.27800000000002
40,CanESM5,r16i1p1f1,2034.612,2028.29,6.322000000000116
41,CanESM5,r16i1p2f1,2037.788,2030.953,6.835000000000036
42,CanESM5,r17i1p1f1,2040.661,2034.335,6.326000000000022
43,CanESM5,r17i1p2f1,2036.72,2030.196,6.524000000000115
44,CanESM5,r18i1p1f1,2039.962,2032.958,7.003999999999905
45,CanESM5,r18i1p2f1,2032.197,2027.851,4.345999999999776
46,CanESM5,r19i1p1f1,2038.41,2032.837,5.573000000000093
47,CanESM5,r19i1p2f1,2037.177,2030.847,6.329999999999927
48,CanESM5,r1i1p1f1,2038.303,2030.462,7.841000000000122
49,CanESM5,r1i1p2f1,2035.323,2028.943,6.380000000000109
50,CanESM5,r20i1p1f1,2038.362,2030.978,7.3840000000000146
51,CanESM5,r20i1p2f1,2035.616,2029.47,6.145999999999958
52,CanESM5,r21i1p1f1,2035.481,2029.65,5.830999999999904
53,CanESM5,r21i1p2f1,2036.172,2029.731,6.441000000000031
54,CanESM5,r22i1p1f1,2038.182,2031.819,6.363000000000056
55,CanESM5,r22i1p2f1,2038.618,2032.446,6.1720000000000255
56,CanESM5,r23i1p1f1,2040.409,2034.11,6.2990000000002055
57,CanESM5,r23i1p2f1,2036.735,2030.617,6.117999999999938
58,CanESM5,r24i1p1f1,2037.869,2031.086,6.782999999999902
59,CanESM5,r24i1p2f1,2035.505,2029.233,6.272000000000162
60,CanESM5,r25i1p1f1,2039.437,2032.679,6.757999999999811
61,CanESM5,r25i1p2f1,2035.414,2030.544,4.869999999999891
62,CanESM5,r2i1p1f1,2036.731,2030.621,6.1099999999999
63,CanESM5,r2i1p2f1,2033.629,2028.088,5.54099999999994
64,CanESM5,r3i1p1f1,2036.335,2031.62,4.7150000000001455
65,CanESM5,r3i1p2f1,2036.757,2030.955,5.802000000000135
66,CanESM5,r4i1p1f1,2044.255,2037.338,6.917000000000144
67,CanESM5,r4i1p2f1,2038.344,2032.037,6.307000000000016
68,CanESM5,r5i1p1f1,2035.731,2030.57,5.161000000000058
69,CanESM5,r5i1p2f1,2040.336,2035.259,5.076999999999998
70,CanESM5,r6i1p1f1,2037.906,2031.898,6.008000000000038
71,CanESM5,r6i1p2f1,2035.92,2030.964,4.956000000000131
72,CanESM5,r7i1p1f1,2037.493,2032.472,5.020999999999958
73,CanESM5,r7i1p2f1,2039.035,2032.025,7.009999999999991
74,CanESM5,r8i1p1f1,2042.204,2035.6,6.604000000000042
75,CanESM5,r8i1p2f1,2037.234,2030.15,7.083999999999833
76,CanESM5,r9i1p1f1,2035.516,2028.761,6.755000000000109
77,CanESM5,r9i1p2f1,2038.469,2033.534,4.934999999999945
78,CanESM5-CanOE,r1i1p2f1,2036.102,2029.397,6.705000000000155
